name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative,predicted_rating
"Hôtel de Ville, Place de Grève",48.857208,2.35218,2,2.4,258,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",railway stations,Paris,FR,culture,2,railway stations,24,1.0,16,15,0.01,5.556828061699537,0.009950330853168,0.0006083288584307,1,0,0,6,30,6,591.0,1,0.0627574001224616,2.6
"Jardin des Combattants-de-la-Nueve, Statue d'Étienne Marcel, Étienne Marcel",48.85572,2.352114,1,2.9,56,"cultural,urban_environment,interesting_places,sculptures, urban_environment,gardens_and_parks,cultural,interesting_places",monuments,Paris,FR,nature,1,monuments,18,4.0,16,15,0.02,4.04305126783455,0.0198026272961797,0.0008841922867815,1,0,0,8,75,8,28.0,7,0.0136217612668909,2.7
"Chapelle dorée of Église Saint-Gervais-Saint-Protais, Church of Saint-Gervais",48.855556,2.354444,3,4.2,1065,"religion,churches,interesting_places,other_churches",churches,Paris,FR,religion,1,churches,6,2.0,16,15,0.0,6.97166860472579,0.0,0.0024749690907163,1,1,0,4,77,8,223.0,4,0.2590567098078359,4.1
"LUMINOR Town Hall, Nouveau Latina",48.858685,2.353654,3,2.5,657,"cultural,cinemas,theatres_and_entertainments,interesting_places",cinemas,Paris,FR,entertainment,2,cinemas,7,3.0,16,15,0.0,6.489204931325317,0.0,0.0025419167964363,1,0,1,4,33,5,103.0,1,0.1598124491490593,2.9
"Saint-Jacques Tower, Square de la Tour Saint-Jacques, Square of Saint-Jacques Tower, Tour Saint-Jacques, Église Saint-Jacques-de-la-Boucherie",48.85798,2.348857,3,4.8,13718,"religion,churches,interesting_places,other_churches, towers,architecture,interesting_places,other_towers, urban_environment,gardens_and_parks,cultural,interesting_places","monuments, towers",Paris,FR,religion,1,monuments,18,2.0,16,15,0.0,9.526537012326164,0.0,0.0036166350382628,1,1,0,12,141,15,223.0,7,3.3368450189144534,4.3
"Saint Merry Church, Saint-Merri",48.859081,2.350804,3,3.3,731,"religion,churches,interesting_places,catholic_churches",churches,Paris,FR,religion,1,churches,6,2.0,16,15,0.0,6.595780513961311,0.0,0.0028467836236732,1,1,0,4,31,4,223.0,4,0.177812633680308,2.9
"Café de la Gare, Essaïon Théâtre, Théâtre Essaïon",48.859734,2.353318,3,3.6,2260,"architecture,historic_architecture,cultural,theatres_and_entertainments,interesting_places,other_theatres,cafes,foods,tourist_facilities,other_buildings_and_structures, cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,entertainment,2,theatres,29,3.0,16,15,0.0,7.72356247227797,0.0,0.0033274434630836,1,0,1,14,49,8,103.0,4,0.5497353654138114,4.1
"Maisons Médiévales, Maisons du Moyen Âge",48.855789,2.3569,1,3.9,46,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",fortresses,Paris,FR,culture,2,fortresses,9,1.0,16,15,0.04,3.8501476017100575,0.0392207131532812,0.0047694570969869,1,0,0,6,40,6,591.0,1,0.0111893038978032,3.0
Le Point Virgule,48.857876,2.356833,3,4.1,2785,"cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Paris,FR,entertainment,2,theatres,29,3.0,16,15,0.0,7.932362154339751,0.0,0.0048055036156467,1,0,1,4,16,3,103.0,4,0.6774393772909136,4.2
"Fontaine du Palmier, Petit Châtelet, Place du Châtelet",48.8575,2.347254,3,4.1,2652,"fortifications,historic,interesting_places,castles, fountains,historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",monuments,Paris,FR,culture,1,monuments,18,1.0,16,15,0.0,7.88344635413774,0.0,0.005027217520657,1,0,0,12,54,8,591.0,7,0.6450876942820477,4.2
